COUNTY,Store #,BusinessName,CITY,Date Range,Calendar Date,Month,Year,Consumer Sales,Licensee Sales,Store Count,Total Sales
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,5/1/2019,5,2019,16903.15,0,1,16903.15
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,8/1/2019,8,2019,16901.65,0,1,16901.65
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,1/1/2020,1,2020,14467.95,0,1,14467.95
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,4/1/2020,4,2020,24087.15,0,1,24087.15
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,7/1/2020,7,2020,22339.9,0,1,22339.9
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,3/1/2021,3,2021,19076.6,0,1,19076.6
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,6/1/2021,6,2021,19833.7,701.95,1,20535.65
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,2/1/2022,2,2022,21713.2,25.9,1,21739.1
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,5/1/2022,5,2022,23847.95,471.1,1,24319.05
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,1/1/2023,1,2023,22987.01,1046.85,1,24033.86
Lane,1061,Junction City Liquor Store,JUNCTION CITY,TRUE,2/1/2017,2,2017,74438.41,9698.95,1,84137.36
Lane,1061,Junction City Liquor Store,JUNCTION CITY,TRUE,5/1/2017,5,2017,82964.48,12556.9,1,95521.38
Lane,1061,Junction City Liquor Store,JUNCTION CITY,TRUE,1/1/2018,1,2018,81237.72,6789.7,1,88027.42
Lane,1061,Junction City Liquor Store,JUNCTION CITY,TRUE,4/1/2018,4,2018,84824.12,9744.05,1,94568.17
Marion,1008,Silverton Beverage,SILVERTON,TRUE,3/1/2017,3,2017,117745.65,28715.95,1,146461.6
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,5/1/2017,5,2017,39986.06,3710.85,1,43696.91
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,8/1/2017,8,2017,47353.67,8352.1,1,55705.77
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,11/1/2017,11,2017,47021.47,3287.75,1,50309.22
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,4/1/2018,4,2018,39424.62,2653.15,1,42077.77
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,7/1/2018,7,2018,51327.54,6970.7,1,58298.24
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,10/1/2018,10,2018,50668.23,5408.65,1,56076.88
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,3/1/2019,3,2019,39959.14,5004.2,1,44963.34
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,6/1/2019,6,2019,48483.9,6172.95,1,54656.85
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,9/1/2019,9,2019,48411.3,4495.35,1,52906.65
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,2/1/2020,2,2020,38975.1,3874.2,1,42849.3
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,5/1/2020,5,2020,62578.89,1026,1,63604.89
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,8/1/2020,8,2020,68740.76,5678.95,1,74419.71
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,1/1/2021,1,2021,49662.39,3353.75,1,53016.14
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,4/1/2021,4,2021,56273.88,3528.45,1,59802.33
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,7/1/2021,7,2021,84301,6982.35,1,91283.35
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,3/1/2022,3,2022,52099.16,3883.35,1,55982.51
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,6/1/2022,6,2022,63008.68,7210.25,1,70218.93
Polk,1016,Dallas Liquor,DALLAS,TRUE,12/1/2021,12,2021,335121.18,16165,1,351286.18
Polk,1016,Dallas Liquor,DALLAS,TRUE,11/1/2022,11,2022,268664.57,7331.56,1,275996.13
Douglas,1019,Liquor Locker,REEDSPORT,TRUE,9/1/2017,9,2017,78510.7,10625.75,1,89136.45
Douglas,1019,Liquor Locker,REEDSPORT,TRUE,12/1/2017,12,2017,66415.75,7989.1,1,74404.85
Douglas,1019,Liquor Locker,REEDSPORT,TRUE,8/1/2018,8,2018,93008.7,11416.5,1,104425.2
Douglas,1019,Liquor Locker,REEDSPORT,TRUE,11/1/2018,11,2018,67777.75,7887.9,1,75665.65
Douglas,1019,Liquor Locker,REEDSPORT,TRUE,7/1/2019,7,2019,94630.8,12555.55,1,107186.35
Douglas,1019,Liquor Locker,REEDSPORT,TRUE,10/1/2019,10,2019,66110.85,9908.65,1,76019.5
Douglas,1019,Liquor Locker,REEDSPORT,TRUE,6/1/2020,6,2020,66584.25,6941.55,1,73525.8
